name,rating,description
,Not Rated,
Ammonium Laureth-6 Carboxylate,Not Rated,Functions: Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Laureth-7 Sulfate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Laureth-8 Carboxylate,Not Rated,Functions: Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Laureth-9 Sulfate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Lauroyl Sarcosinate,Not Rated,"Functions: Antistatic, Cleansing, Foaming, Hair Conditioning, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Lauryl Sulfosuccinate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Molybdate,Not Rated,Functions: Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Monofluorophosphate,Not Rated,"Functions: Antiplaque, Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Myreth Sulfate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Myristyl Sulfate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Nitrate,Not Rated,Functions: Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Nonoxynol-30 Sulfate,Not Rated,Functions: Cleansing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Nonoxynol-4 Sulfate,Not Rated,Functions: Cleansing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Oleate,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Oleoyl/Palmitoyl Glycerophosphoethylamido Glutaroyl Oligopeptide-114,Not Rated,Functions: Absorbent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Palm Kernel Sulfate,Not Rated,"Functions: Foaming, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Perfluorohexyl Ethylphosphates,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Persulfate,Not Rated,Functions: Bleaching. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Phenolsulfonate,Not Rated,"Functions: Antimicrobial, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Phosphate,Not Rated,"Functions: Buffering, Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Phosphatidyl Rapeseedate,Not Rated,"Functions: Emulsion Stabilizer, Skin Conditioning, Emollient, Cleansing Agent, Emulsifier, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Propionate,Not Rated,Functions: Preservative. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ammonium Shellacate,Not Rated,"Functions: Emulsion Stabilizer, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ammonium Silver Zeolite,Not Rated,"Functions: Absorbent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
