name,rating,description
,Not Rated,
Zinc Undecylenate,Not Rated,"Functions: Anticaking, Antimicrobial, Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zinc Undecylenoyl Hydrolyzed Wheat Protein,Not Rated,"Functions: Emulsion Stabilizer, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zinc Zeolite,Not Rated,"Functions: Absorbent, Astringent, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingerone,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Aromaticus Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Cassumunar Extract,Not Rated,"Functions: Fragrance, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Cassumunar Rhizome Extract,Not Rated,"Functions: Flavor, Fragrance, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Cassumunar Root Extract,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Cassumunar Root Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Cassumunar Root Powder,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Mioga Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Leaf Cell Extract,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Officinale Rhizome Extract,Not Rated,Functions: Antimicrobial. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Root,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Root Juice,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Root Oil,Not Rated,"Functions: Fragrance, Skin Conditioning, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zingiber Officinale Root Powder,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Officinale Water,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zingiber Zerumbet Juice,Not Rated,Functions: Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zinnia Elegans Callus Culture Extract,Not Rated,"Functions: Antioxidant, Hair Conditioning, Humectant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zirconium Bis(Hydrogen Phosphate),Not Rated,"Functions: Bulking, Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zirconium Chlorohydrate,Not Rated,Functions: Astringent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zirconium Dioxide,Not Rated,Functions: Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zirconium Powder,Not Rated,Functions: Antiperspirant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zirconium Silicate,Not Rated,"Functions: Abrasive, Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zirconyl Dioxide,Not Rated,Functions: Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziyu Glycoside I,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziyu Glycoside Ii,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziyu Glycoside Iii,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zizania Aquatica Extract,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zizania Latifolia Leaf Extract,Not Rated,"Functions: Antioxidant, Bleaching, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zizania Latifolia Stem Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Joazeiro Bark Extract,Not Rated,"Functions: Anti-Seborrheic, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Ziziphus Jujuba Branch Extract,Not Rated,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Jujuba Leaf Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Jujuba Seed Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Mauritiana Leaf,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Sativa Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Ziziphus Spina-Christi Leaf Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zonaria Tournefortii Extract,Not Rated,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zostera Marina Callus Extract,Not Rated,"Functions: Antimicrobial, Antioxidant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zostera Marina Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zygophyllum Qatarense Leaf/Stem Extract,Not Rated,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zygosaccharomyces Microellipsoides Ferment,Not Rated,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Zymomonas Ferment Extract,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Zymomonas Ferment Filtrate,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
