name,rating,description
,Not Rated,
Crithmum Maritimum Callus Culture Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crithmum Maritimum Callus Culture Filtrate,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crithmum Maritimum Callus Culture Filtrate Extract,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crithmum Maritimum Callus Extract,Not Rated,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crithmum Maritimum Extract,Not Rated,"Functions: Skin Conditioning, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crithmum Maritimum Powder,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocetin,Not Rated,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocin,Not Rated,"Functions: Antioxidant, Colorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crocodile Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crocus Chrysanthus Bulb Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocus Sativus Callus Extract,Not Rated,"Functions: Antioxidant, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crocus Sativus Flower Extract,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocus Sativus Leaf Cell Culture Extract,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocus Sativus Meristem Cell Extract,Not Rated,"Functions: Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crocus Sativus Stigma Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocus Sativus Stigma Water,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crocus Sativus Style Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croscarmellose,Not Rated,"Functions: Binding, Bulking, Gel Forming, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crotamiton,Not Rated,"Functions: Antimicrobial, Solvent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Crotonaldehyde,Not Rated,"Functions: Antioxidant, Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Croton Eluteria Oil,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Glabellus Bark Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Glabellus Bark Oil,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Gratissimus Seed Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crotonic Acid,Not Rated,"Functions: Fragrance, Light Stabilizer. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Croton Lechleri Resin,Not Rated,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Lechleri Resin Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Lechleri Sap Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Megalocarpus Seed Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Croton Sonderianus Leaf/Stem Oil,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Cryolite Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Crypthecodinium Cohnii Extract,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Cryptocarya Crassinervia Bark Oil,Not Rated,"Functions: Antimicrobial, Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it."
