name,rating,description
,Not Rated,
Caffeine Salicylate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Dipeptide-25 Amide,Not Rated,"Functions: Skin Conditioning, Emollient, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Dipeptide-30,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Hexapeptide-43,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Hexapeptide-48,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Hexapeptide-50,Not Rated,"Functions: Antioxidant, Chelating, Skin Protecting, UV Filter. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Hexapeptide-56,Not Rated,"Functions: Antioxidant, Hair Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Hexapeptide-65,Not Rated,"Functions: Antimicrobial, Antioxidant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Methoxytryptamine,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Oligopeptide-77,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Pentapeptide-20,Not Rated,"Functions: Antioxidant, Hair Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Pentapeptide-27,Not Rated,"Functions: Antioxidant, Chelating, Skin Protecting, UV Absorber. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Pentapeptide-4,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Sh-Decapeptide-23,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Sh-Decapeptide-9,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Sh-Heptapeptide-13,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Sh-Octapeptide-4,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Tetrapeptide-19 Caffeamide,Not Rated,"Functions: Antioxidant, Chelating, Skin Protecting, UV Filter. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Tripeptide-1,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Tripeptide-34,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Caffeoyl Tripeptide-35,Not Rated,"Functions: Antioxidant, Chelating, Skin Protecting, UV Filter. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeoyl Tripeptide-7,Not Rated,"Functions: Antioxidant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Caffeyl Glucoside,Not Rated,"Functions: Antioxidant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Cajanus Cajan Leaf Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Cakile Maritima Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calanthe Discolor Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium/Magnesium Hydroxyapatite,Not Rated,Functions: Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium/Strontium Hydroxyapatite,Not Rated,Functions: Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Acetate,Not Rated,"Functions: Fragrance, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Alginate,Not Rated,"Functions: Fragrance, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Aspartate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Behenate,Not Rated,"Functions: Anticaking, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Benzoate,Not Rated,Functions: Preservative. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Beta-Sitosteryl Sulfate,Not Rated,"Functions: Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Carboxymethyl Cellulose,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Carrageenan,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Caseinate,Not Rated,"Functions: Binding, Bulking, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Cerium Oxide,Not Rated,Functions: UV Absorber. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Cerium Phosphate,Not Rated,Functions: Light Stabilizer. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Chitosan,Not Rated,"Functions: Film Forming, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Citrate,Not Rated,Functions: Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Cyclamate,Not Rated,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Dihydrogen Phosphate,Not Rated,Functions: Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Disodium EDTA,Not Rated,Functions: Chelating. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium DNA,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Dodecylbenzenesulfonate,Not Rated,Functions: Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Fluoride,Not Rated,"Functions: Antiplaque, Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Calcium Fructoborate,Not Rated,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Calcium Fructoheptonate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
