name,rating,description
,Not Rated,
Sunflowerseedamidopropyl Hydroxyethyldimonium Chloride,Not Rated,"Functions: Antistatic, Cleansing, Hair Conditioning, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflowerseedamidopropyl Morpholine Lactate,Not Rated,"Functions: Antistatic, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflowerseedamidopropyl Pg-Dimonium Chloride Phosphate,Not Rated,"Functions: Antistatic, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil/Hydrogenated Sunflower Seed Oil Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Skin Protecting, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Cetyl Esters,Not Rated,"Functions: Binding, Hair Conditioning, Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Ethyl Esters,Not Rated,"Functions: Emollient, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Ethyl Ferulate Esters,Not Rated,"Functions: Antioxidant, Bleaching, Emulsion Stabilizer, Emollient, UV Absorber. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Glycereth-8 Esters,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Glyceride,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Glycerides,Not Rated,"Functions: Skin Conditioning, Emollient, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil PEG-32 Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil PEG-8 Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Polyglyceryl-10 Esters,Not Rated,"Functions: Emulsion Stabilizer, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Polyglyceryl-3 Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Polyglyceryl-4 Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Polyglyceryl-5 Esters,Not Rated,"Functions: Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Polyglyceryl-6 Esters,Not Rated,"Functions: Emulsion Stabilizer, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Oil Sorbitol Esters,Not Rated,"Functions: Emollient, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sunflower Seed Wax Alkanes,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sunstone Powder,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sus Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sutherlandia Frutescens Leaf Extract,Not Rated,Functions: Antimicrobial. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sutilains,Not Rated,Functions: Keratolytic. We have not yet rated this ingredient because we have not had a chance to review the research on it.
S-Viper Cysteine-Rich Venom Protein,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sweet Almond Amino Acids,Not Rated,"Functions: Humectant, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sweet Almond Oil Decyl Esters,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sweet Almond Oil Ethyldimethylammonium Esters Lactate,Not Rated,Functions: Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Sweet Almond Oil PEG-8 Esters,Not Rated,"Functions: Emollient, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sweet Almond Oil Polyglyceryl-4 Esters,Not Rated,"Functions: Solvent, Cleansing Agent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Sweet Almond Oil Polyglyceryl-6 Esters,Not Rated,"Functions: Emollient, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Swertia Chirata Extract,Not Rated,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Swertia Chirata Leaf Extract,Not Rated,Functions: Astringent. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Swertia Japonica Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Swertia Japonica Powder,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Swertia Pseudochinensis Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Swiftlet Nest Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Syagrus Coronata Seed Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symbiodinium Microadriaticum Ferment Lysate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symphoricarpos Albus Fruit Extract,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Symphoricarpos Albus Leaf Extract,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Symphytum Officinale Callus Culture Lysate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symphytum Officinale Leaf Powder,Not Rated,Functions: Abrasive. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symphytum Officinale Rhizome/Root Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symphytum Officinale Root Cell Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Symphytum Officinale Root Extract,Not Rated,"Functions: Anti-Seborrheic, Skin Conditioning, Soothing. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Symplocos Racemosa Bark Extract,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Synechococcus/Manganese Ferment,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synechococcus Elongatus/Algae Ferment,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synechococcus Elongatus Lysate Filtrate,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synephrine,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synephrine HCL,Not Rated,"Functions: Antioxidant, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Syngonanthus Nitens Stem Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synsepalum Dulcificum Fruit Extract,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synsepalum Dulcificum Seed Oil,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Synthetic Candelilla Wax,Not Rated,"Functions: Binding, Emulsion Stabilizer, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Synthetic Carnauba,Not Rated,"Functions: Binding, Emulsion Stabilizer, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Synthetic Japan Wax,Not Rated,"Functions: Binding, Emulsion Stabilizer, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Synthetic Jojoba Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Synthetic Moonstone Powder,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
